song,artist,rank,lyrics
CANCELLED!,Taylor Swift,87.505,"You thought that it would be okay, at first The situation could be saved, of course But they'd already picked out your grave and hearse Beware the wrath of masked crusaders Did you girl-boss too close to the Sun? Did they catch you having far too much fun? Come with me, when they see us they'll run Something wicked this way comes Good thing I like my friends cancelled I like 'em cloaked in Gucci and in scandal Like my whiskey sour and poison thorny flowers Welcome to my underworld where it gets quite dark At least you know exactly who your friends are They're the ones with matching scars It's easy to love you when you're popular The optics click, everyone prospers But one single drop, you're off the roster Tone-deaf and hot, let's fuckin' off her Did you make a joke only a man could? Were you just too smug for your own good? Or bring a tiny violin to a knife fight? Baby, that all ends tonight Good thing I like my friends cancelled (cancelled) I like 'em cloaked in Gucci and in scandal Like my whiskey sour and poison thorny flowers (Honey) welcome to my underworld, it'll break your heart At least you know exactly who your friends are They're the ones with matching scars They stood by me before my exoneration They believed I was innocent So I'm not here for judgment, no But if you can't be good, then just be better at it Everyone's got bodies in the attic Or took somebody's man, we'll take you by the hand And soon you'll learn the art of never getting caught It's a good thing I like my friends cancelled (You know that) I like 'em cloaked in Gucci and in scandal Like my whiskey sour and poison thorny flowers (Ooh) it's a good thing I like my friends cancelled (cancelled) I salute you if you're much too much to handle Like my whiskey sour (I like it) and poison thorny flowers (I love it) Can't you see my infamy loves company? Now they've broken you like they've broken me But a shattered glass is a lot more sharp And now you know exactly who your friends are You know who we are We're the ones with matching scars "
Elizabeth Taylor,Taylor Swift,87.178,"Elizabeth Taylor Do you think it's forever? That view of Portofino was on my mind When you called me at the Plaza Athénée Ooh-ooh, oftentimes it doesn't feel so glamorous to be me All the right guys promised they'd stay under bright lights They withered away, but you bloom Portofino was on my mind (And I think you know why) And if your letters ever said: Goodbye I'd cry my eyes violet Elizabeth Taylor, tell me for real Do you think it's forever? Been number one but I never had two And I can't have fun If I can't have (uh) Be my NY when Hollywood hates me You're only as hot as your last hit, baby Been number one but I never had two And I can't have fun if I can't have you Hey, what could you possibly get for the girl Who has everything and nothing all at once? Babe, I would trade the Cartier for someone to trust (just kidding) We hit the best booth at Musso & Frank's They say I'm bad news, I just say: Thanks And you look at me like you're hypnotized And I think you know why And if you ever leave me high and dry I'd cry my eyes violet Elizabeth Taylor, tell me for real Do you think it's forever? Been number one but I never had two And I can't have fun If I can't have (uh) Be my NY when Hollywood hates me You're only as hot as your last hit, baby Been number one but I never had two And I can't have fun if I can't have (uh) you Elizabeth Taylor (oh-oh) Do you think it's forever? If I can't have you All my white diamonds and lovers are forever In the papers, on the screen and in their minds All my white diamonds and lovers are forever Don't you ever end up anything but mine I'd cry my eyes violet Elizabeth Taylor, tell me for real Do you think it's forever? Been number one but I never had two And I can't have fun If I can't have (uh) Be my NY when Hollywood hates me You're only as hot as your last hit, baby Been number one but I never had two And I can't have fun if I can't have you (All my white diamonds and lovers are forever) Elizabeth Taylor (In the papers, on the screen and in their minds) do you think it's forever? All my white diamonds and lovers are forever Don't you ever end up anything but mine, oh-oh-oh "
P do Pecado (part. Simone Mendes),Grupo Menos É Mais,877.191,"Uma ligação fria Com um convite quente Você é uma comprometida que me liga E eu sou o solteiro que atende Depois que o suor seca no chão É fácil me chamar de tentação Como se eu fosse o culpado Do que cê faz com o seu namorado Como se eu que tivesse alguém Mas, diferente de você, meu beijo não tá enganando ninguém Jogando erro contra erro O seu é bem maior que o meu Da vida, cê não tira ele Da cama, cê não tira eu Não joga a culpa toda pro meu lado É você que tem alguém do lado Eu sou apenas o P do pecado Eu sou apenas o P do pecado Jogando erro contra erro O seu é bem maior que o meu Da vida, cê não tira ele Da cama, cê não tira eu Não joga a culpa toda pro meu lado É você que tem alguém do lado Eu sou apenas o P do pecado Eu sou apenas o P do pecado Como se eu fosse a culpada Do que cê faz com sua namorada Como se eu que tivesse alguém Mas, diferente de você, meu beijo não tá enganando ninguém Jogando erro contra erro O seu é bem maior que o meu Da vida, cê não tira ela Da cama, cê não tira eu Não joga a culpa toda pro meu lado É você que tem alguém do lado Eu sou apenas o P do pecado Eu sou apenas o P do pecado Jogando erro contra erro O seu é bem maior que o meu Da vida, cê não tira ela Da cama, cê não tira eu Não joga a culpa toda pro meu lado É você que tem alguém do lado Eu sou apenas o P do pecado Eu sou apenas o P do pecado Jogando erro contra erro O seu é bem maior que o meu Da vida, cê não tira ela Da cama, cê não tira eu Não joga a culpa toda pro meu lado É você que tem alguém do lado Eu sou apenas o P do pecado Eu sou apenas o P do pecado P do pecado "
Porque Ele Vive,Harpa Cristã,11.858.067,"Deus enviou Seu Filho amado Pra me salvar e perdoar Na cruz morreu por meus pecados Mas ressurgiu e vivo com o Pai está Porque Ele vive, posso crer no amanhã Porque Ele vive, temor não há Mas eu bem sei, eu sei que a minha vida Está nas mãos do meu Jesus, que vivo está E quando, enfim, chegar a hora Em que a morte enfrentarei Sem medo, então, terei vitória Verei na Glória, o meu Jesus que vivo está Porque Ele vive, posso crer no amanhã Porque Ele vive, temor não há Mas eu bem sei, eu sei que a minha vida Está nas mãos do meu Jesus, que vivo está Porque Ele vive, posso crer no amanhã Porque Ele vive, temor não há Mas eu bem sei, eu sei que a minha vida Está nas mãos do meu Jesus, que vivo está Está nas mãos do meu Jesus, que vivo está "
Quem É Esse?,Julliany Souza,722.845,"Eu me deparei com aquele mestre escrevendo Com o dedo no chão, ouvindo os fariseus a lhes falar Que a Lei de Moisés me condenava por meus erros Mas nenhuma pedra Ele pegou pra me apedrejar Eu só tinha os meus pecados pra lhe oferecer Mas mesmo assim me amou Mas mesmo assim me amou Com uma frase: Atire a pedra quem nunca pecou Ele me perdoou Ele me perdoou Sua irresistível graça me alcançou Quem é esse? Que era sem pecado e não me condenou No lugar da morte, vida me ofertou O Cordeiro que por mim se entregou E os meus pecados levou Eu só tinha os meus pecados pra lhe oferecer Mas mesmo assim me amou Mas mesmo assim me amou Com uma frase: Atire a pedra quem nunca pecou Ele me perdoou Ele me perdoou Sua irresistível graça me alcançou Quem é esse? Que era sem pecado e não me condenou No lugar da morte, vida me ofertou O Cordeiro que por mim se entregou E os meus pecados levou Quem é esse? Que era sem pecado e não me condenou No lugar da morte, vida me ofertou O Cordeiro que por mim se entregou E os meus pecados levou Eu não Te troco por nada Não há espaço pra mais nada Todo vazio que havia em mim Hoje é Sua morada A minha alma buscava E nada me completava A Tua presença é o que faltava em mim Minha vida foi transformada Eu não Te troco por nada Não há espaço pra mais nada Todo vazio que havia em mim Hoje é Sua morada A minha alma buscava E nada me completava A Tua presença é o que faltava em mim Minha vida foi transformada Quem é esse? Que era sem pecado e não me condenou No lugar da morte, vida me ofertou O Cordeiro que por mim se entregou E os meus pecados levou Quem é esse? Que era sem pecado e não me condenou No lugar da morte, vida me ofertou O Cordeiro que por mim se entregou E os meus pecados levou Eu não Te troco por nada Não há espaço pra mais nada Todo vazio que havia em mim Hoje é Sua morada A minha alma buscava E nada me completava A Tua presença é o que faltava em mim Minha vida foi transformada Minha vida foi transformada Eu só tinha os meus pecados pra lhe oferecer Mas mesmo assim me amou Mas mesmo assim me amou Eu não Te troco por nada Não há espaço pra mais nada Todo vazio que havia em mim Hoje é Sua morada A minha alma buscava E nada me completava A Tua presença é o que faltava em mim Minha vida foi transformada "
Sua Boca Mente (You're Still The One) (part. Ana Castela),Zé Felipe,33.276,"(Hum, hum, hum) Eu não sabia Que a sua boca mente Eu só queria O teus beijos lentamente Chorei (chorei), eu sei (eu sei) Que sentimento não se cobra Mas a paixão Cegou os meus olhos E o coração (A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal (A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal Eu não sabia (eu não sabia) Que a sua boca mente Eu só queria Os teus beijos lentamente Chorei (chorei), eu sei (eu sei) Que sentimento não se cobra Mas a paixão Cegou os meus olhos E o coração (A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal (A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal (A solidão) quem só me fez chorar? Tu Quem só me fez beber? Tu O seu amor me fez tão mal (A solidão) mas eu só sei amar tu Mas eu só sei querer tu O seu amor é surreal Eu não sabia Que a sua boca mente "
Honey,Taylor Swift,57.786,"You can call me honey if you want Because I'm the one you want, mm-mm When anyone called me sweetheart It was passive-aggressive at the bar And the bitch was telling me to back off 'Cause her man had looked at me wrong If anyone called me honey It was standing in the bathroom, white teeth They were saying that skirt don't fit me And I cried the whole way home But you touch my face Redefine all of those blues When you say: Honey Summertime Spritz, pink skies You can call me honey if you want Because I'm the one you want Wintergreen kiss, all mine You give it different meaning 'Cause you mean it when you talk Honey, I'm home, we can play house We can bed down, pick me up Who's the baddest in the land, what's the plan? (What's the plan?) You could be my forever night stand Honey When anyone called me sweetheart It was passive-aggressive at the bar And the bitch was telling me to back off 'Cause her man had looked at me wrong If anyone called me honey It was standing in the bathroom, white teeth They were saying that skirt don't fit me And I cried the whole way home But you touch my face Redefine all of those blues When you say, –ay, –ay You can call me honey if you want Because I'm the one you want I'm the one you want You give it different meaning 'Cause you mean it when you talk Sweetie, it's yours, kicking in doors, take it to the floor Give me more, buy the paint in the color of your eyes (of your eyes) And graffiti my whole damn life Honey When anyone called me late night He was screwing around with my mind Asking: What are you wearing? Too high to remember in the morning And when anyone called me lovely They were finding ways not to praise me But you say it like you're in awe of me And you stay until the morning Honey When anyone called me sweetheart It was passive-aggressive at the bar And the bitch was telling me to back off 'Cause her man had looked at me wrong (he looked at me wrong) If anyone called me honey It was standing in the bathroom, (yeah) white teeth They were saying that skirt don't fit me And I cried the whole way home (cried the whole way home) But you can call me honey if you want "
Em Fervente Oração,Harpa Cristã,7.514.888,"Em fervente oração, vem o teu coração Na presença de Deus derramar Mas só podes fruir o que estás a pedir Quando tudo deixares no altar Quando tudo perante o Senhor estiver E todo o teu ser Ele controlar Só então hás de ver que o Senhor tem poder Quando tudo deixares no altar Maravilhas de amor te fará o Senhor Atendendo à oração que aceitar Seu imenso poder te virá socorrer Quando tudo deixares no altar Quando tudo perante o Senhor estiver E todo o teu ser Ele controlar Só então hás de ver que o Senhor tem poder Quando tudo deixares no altar Se orares, porém, sem o teu coração Ter a paz que o Senhor pode dar Foi por Deus não sentir que tua alma se abriu Tudo, tudo, deixando no altar Quando tudo perante o Senhor estiver E todo o teu ser Ele controlar Só então hás de ver que o Senhor tem poder Quando tudo deixares no altar "
You're Still The One,Shania Twain,3.143.719,"When I first saw you I saw love And the first time you touched me I felt love And after all this time You're still the one I love Mmm, yeah Looks like we made it Look how far we've come, my baby We mighta took the long way We knew we'd get there someday They said: I bet they'll never make it But just look at us holding on We're still together, still going strong (You're still the one) You're still the one I run to The one that I belong to You're still the one I want for life (You're still the one) You're still the one that I love The only one I dream of You're still the one I kiss good night Ain't nothing better We beat the odds together I'm glad we didn't listen Look at what we would be missing They said: I bet they'll never make it But just look at us holding on We're still together, still going strong (You're still the one) You're still the one I run to The one that I belong to You're still the one I want for life (You're still the one) You're still the one that I love The only one I dream of You're still the one I kiss good night You're still the one (Ooh, ooh, ooh) Yeah (You're still the one) You're still the one I run to The one that I belong to You're still the one I want for life, oh, yeah (You're still the one) You're still the one that I love The only one I dream of You're still the one I kiss good night I'm so glad we made it Look how far we've come, my baby "
Se Eu Não Te Ouvir,Sarah Farias,1.092.589,"Tua voz, Senhor Faz tremer o deserto Tua voz, Senhor Ecoa sobre as águas As águas agitadas Da alma inquieta Que não consegue descansar Tua voz, Senhor Fez surgir o universo Tua voz, Senhor É cheia de majestade Ela aponta a direção Dissipa toda confusão E traz luz na escuridão Eu preciso calar todas as vozes, menos a Tua Silenciar todas as vozes, menos a Tua A Tua A Tua Se eu não Te ouvir, eu morro Se eu não Te ouvir, eu pereço Tua voz é livramento No meio do tormento Tua voz é tudo Mas, se eu Te ouvir, eu vivo Se eu Te ouvir, eu prospero Tua voz é a segurança No começo, meio e fim Tua voz é tudo Preciso calar todas as vozes, menos a Tua Silenciar todas as vozes, menos a Tua A Tua A Tua Se eu não Te ouvir, eu morro Se eu não Te ouvir, eu pereço Tua voz é livramento No meio do tormento Tua voz é tudo Mas, se eu Te ouvir, eu vivo Se eu Te ouvir eu prospero Tua voz é a segurança No começo, meio e fim Tua voz é tudo Fala, Deus Fala, Deus Toca-me com brasas do altar Fala, Deus Fala, Deus Sim, alegre, atendo ao Teu mandar Fala, Deus Fala, Deus Toca-me com brasas do altar Fala, Deus Fala, Deus Sim, alegre, atendo ao Teu mandar Se eu não Te ouvir, eu morro Se eu não Te ouvir, eu pereço Tua voz é livramento No meio do tormento Tua voz é tudo Mas, se eu Te ouvir, eu vivo Se eu Te ouvir, eu prospero Tua voz é a segurança No começo, meio e fim Tua voz é tudo "
