song,artist,rank,lyrics
"Jesus, o Bom Amigo",Harpa Cristã,2.362.231,"Achei um bom amigo Jesus, o Salvador O escolhido dos milhares para mim Dos vales é o lírio, é o forte Mediador Que me purifica e guarda para Si Consolador amado, meu protetor do mal Solicitude minha toma a Si Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim Consolador amado, meu protetor do mal Solicitude minha toma a Si Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim Levou-me as dores todas As mágoas Lhe entreguei Minha fortaleza é, na tentação Deixei por Ele tudo, os ídolos queimei Ele me conserva santo o coração Que o mundo me abandone, persiga o tentador Jesus me guarda até da vida o fim Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim Consolador amado, meu protetor do mal Solicitude minha toma a Si Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim Não desampara nunca Nem me abandonará Se fiel e obediente eu viver Um muro é de fogo, que me protegerá Até que venha a mim o tempo de morrer Ao céu então voando, Sua glória eu verei Onde a dor e a morte nunca, nunca vêm Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim Consolador amado, meu protetor do mal Solicitude minha toma a Si Dos vales é o lírio, a estrela da manhã O escolhido dos milhares para mim "
A Mensagem da Cruz,Harpa Cristã,4.321.809,"Rude cruz se erigiu Dela o dia fugiu Como emblema de vergonha e dor Mas contemplo essa cruz Porque nela Jesus Deu a vida por mim, pecador Sim, eu amo a mensagem da cruz Até morrer eu a vou proclamar Levarei eu também minha cruz Até por uma coroa trocar Desde a glória dos céus O Cordeiro de Deus Ao calvário humilhante baixou Essa cruz tem pra mim Atrativos sem fim Porque nela Jesus me salvou Sim, eu amo a mensagem da cruz Até morrer eu a vou proclamar Levarei eu também minha cruz Até por uma coroa trocar Nesta cruz padeceu E por mim já morreu Meu Jesus, para dar-me perdão Eu me alegro na cruz Dela vem graça e luz Para minha santificação Sim, eu amo a mensagem da cruz Até morrer eu a vou proclamar Levarei eu também minha cruz Até por uma coroa trocar Eu aqui com Jesus A vergonha da cruz Quero sempre levar e sofrer Cristo vem me buscar E com Ele, no lar Uma parte da glória hei de ter Sim, eu amo a mensagem da cruz Até morrer eu a vou proclamar Levarei eu também minha cruz Até por uma coroa trocar "
Creep,Radiohead,9.483.698,"When you were here before Couldn't look you in the eye You're just like an angel Your skin makes me cry You float like a feather In a beautiful world I wish I was special You're so fucking special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't care if it hurts I wanna have control I want a perfect body I want a perfect soul I want you to notice When I'm not around You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here Oh, oh She's running out the door She's running out She run, run, run, run Run Whatever makes you happy Whatever you want You're so fucking special I wish I was special But I'm a creep I'm a weirdo What the hell am I doing here? I don't belong here I don't belong here "
Com Muito Louvor,Cassiane,8.163.578,"Deus não rejeita oração, oração é alimento Nunca vi um justo sem resposta ou ficar no sofrimento Basta somente esperar o que Deus irá fazer Quando Ele estende Suas mãos, é a hora de vencer Então, louve Simplesmente louve Tá chorando, louve Precisando, louve Tá sofrendo, louve Não importa, louve Seu louvor invade o céu Deus vai na frente abrindo o caminho Quebrando as correntes, tirando os espinhos Ordena aos anjos pra contigo lutar Ele abre as portas pra ninguém mais fechar Ele trabalha pra o que Nele confia Caminha contigo de noite ou de dia Erga suas mãos, sua bênção chegou Comece a cantar com muito louvor Com muito louvor, com muito louvor Com muito louvor A gente precisa entender o que Deus está falando Quando Ele fica em silêncio é porque está trabalhando Basta somente esperar o que Deus irá fazer Quando Ele estende Suas mãos, é a hora de vencer Então, louve (louve) Simplesmente louve (louve) Tá chorando, louve (louve) Precisando, louve (louve) Tá sofrendo, louve (louve) Não importa, louve Seu louvor invade o céu Deus vai na frente abrindo o caminho Quebrando as correntes, tirando os espinhos Ordena aos anjos pra contigo lutar Ele abre as portas pra ninguém mais fechar Ele trabalha pra o que Nele confia Caminha contigo de noite ou de dia Erga suas mãos, sua bênção chegou Comece a cantar com muito louvor Com muito louvor, com muito louvor Com muito louvor Com muito louvor, com muito louvor Com muito louvor, com muito louvor Com muito louvor, com muito louvor Com muito louvor, com muito louvor (Com muito louvor, com muito louvor) adore ao Senhor (Com muito louvor) exalte o Senhor Cante ao Senhor com muito louvor "
Melhor Amigo,Nair Nany,487.718,"O meu melhor amigo é Jesus O de todas as horas, só Tu De todos os momentos, só Jesus Quando todo mundo vai, Jesus fica Quando não tenho sem saída, Jesus me guia Quando eu mesma duvido de mim, Jesus acredita Quando eu mesma me odeio, Jesus me ama Jesus é fiel, fiel Jesus é fiel, fiel Jesus é fiel, fiel Jesus é fiel, fiel Se você cair, Jesus levanta Se estiveres doente, Jesus te cura Se tiveres questões, Jesus é a resposta E se precisares de um abraço, Jesus consola Quando oras, Jesus ouve o teu clamor Quando sofres, Jesus sente a tua dor Quando questionas, Jesus responde com muito amor Não é como os homens, não, não, não, não, não Não é como os homens, não, não, não, não, não, não, não, não Não é como os homens, não, não, não, não, não Não é como os homens, não, não (O nome d'Ele) o nome d'Ele é Jesus, Jesus (Jesus, Jesus) (O nome d'Ele é Jesus) o nome d'Ele é Jesus (o nome d'Ele é Jesus), Jesus (O nome d'Ele) O nome d'Ele é Jesus (Jesus), Jesus O nome d'Ele é Jesus, Jesus Nas horas escuras da vida, Jesus está lá Quando ninguém tem tempo para mim Só há alguém que eu conheço, Jesus Nas horas amargas da minha vida, Jesus está lá O único que, conhecendo minhas falhas, meus defeitos, ficou, Jesus Jesus, Jesus Jesus, Jesus, Jesus Jesus, Jesus, Jesus O nome d'Ele é O nome d'Ele é Jesus ([?]), Jesus [?] Jesus, Jesus, Jesus O nome d'Ele, o nome d'Ele é Jesus [?] [?] O nome d'Ele é Jesus (Jesus, Jesus) Jesus, Jesus Jesus, Jesus Jesus, Jesus Jesus, Jesus Aleluia, aleluia Nas horas escuras da minha vida, Jesus está lá Quando ninguém tem tempo para mim Só há alguém que eu conheço, Jesus Nas horas mais tristes da minha vida, Jesus está lá O único que, conhecendo [?], ficou, Jesus Jesus, Jesus, Jesus Jesus, Jesus, Jesus Jesus, Jesus, Jesus [?] De todos os momentos, Jesus, Jesus O nome d'Ele é Jesus, Jesus O nome d'Ele é Jesus, Jesus "
Fidelidade,Danielle Cristina,4.929.359,"Ó Deus de Israel, eu sei Que não vim a este mundo pra adorar outro rei Os leões estão rugindo sem parar Meu louvor incomodou A todos que são contra Ti, ó Jeová Nada pode intercalar O louvor do meu coração Dos manjares eu abro mão Os palácios não quero, não Eis-me aqui como Daniel Com os olhos focados no céu Com o risco de morrer Pois o que importa é Lhe obedecer Senhor, não vou dividir minha adoração Exclusivo é o meu coração Vivo só pra Ti, não abro mão do céu Até diante da morte, prefiro ser fiel Nada pode intercalar O louvor do meu coração Dos manjares eu abro mão Os palácios não quero, não Eis-me aqui como Daniel Com os olhos focados no céu Com o risco de morrer Pois o que importa é Lhe obedecer Senhor, não vou dividir minha adoração Exclusivo é o meu coração Vivo só pra Ti, não abro mão do céu Até diante da morte, prefiro ser fiel Aquele que habita no esconderijo do Altíssimo À sombra do Onipotente descansará Direi do Senhor: Ele é o meu Deus O meu refúgio, a minha fortaleza Ele me livra do laço do passarinheiro E da peste perniciosa Ele me cobre com Suas penas E debaixo de Suas asas estarei seguro Eu não temo o espanto noturno Nem seta que voe de dia Nem peste que ande na escuridão Nem mortandade que assole ao meio-dia Não importa quantos caiam do meu lado Direita, esquerda, eu sou protegido Se eu for fiel, eu moverei o céu Ele envia anjos para me guardar Senhor, não vou dividir a minha adoração Exclusivo é o meu coração Vivo só pra Ti, não abro mão do céu Até diante da morte, prefiro ser fiel Senhor, não vou dividir a minha adoração Exclusivo é o meu coração Vivo só pra Ti, não abro mão do céu Até diante da morte, prefiro ser fiel "
Deserto,Maria Marçal,4.922.419,"Eu não preciso transformar Pedras em pães para provar Que no deserto Tu estás Cuidando de mim De um lugar alto não vou me lançar Só pra demonstrar o Teu poder Eu não preciso ver fenômenos para crer em Ti Não troco nossa comunhão Pelo prazer de conquistar Palácios, riquezas Como um deserto, isso vai passar Por isso resistindo estou E quando a minha força se esgotar O Teu anjo vai me alimentar Te adorar é o que sustenta-me de pé Eu não vou, não vou perder a guerra Te louvar em meio às tentações É mais que estratégia Posso não ver o amanhã Mas hoje sei Que esse deserto vai chegar ao fim O Senhor está cuidando de mim Eu não preciso transformar Pedras em pães para provar Que no deserto Tu estás Cuidando de mim De um lugar alto não vou me lançar Só pra demonstrar o Teu poder Eu não preciso ver fenômenos para crer em Ti Não troco nossa comunhão Pelo prazer de conquistar Palácios, riquezas Como um deserto, isso vai passar Por isso resistindo estou E quando a minha força se esgotar O Teu anjo vai me alimentar E Te adorar é o que sustenta-me de pé Eu não vou, não vou perder a guerra Te louvar em meio às tentações É mais que estratégia Posso não ver o amanhã Mas hoje sei Que esse deserto vai chegar ao fim O Senhor está cuidando de mim Te adorar é o que sustenta-me de pé Eu não vou, não vou perder a guerra Te louvar em meio às tentações É mais que estratégia Posso não ver o amanhã Mas hoje sei Que esse deserto vai chegar ao fim O Senhor está cuidando de mim "
Vem Cear,Harpa Cristã,2.743.407,"Cristo já nos preparou Um manjar que nos comprou E agora nos convida a cear Com celestial maná Que, de graça, Deus te dá Vem, faminto, tua alma saciar Vem cear, o Mestre chama, vem cear Mesmo hoje tu te podes saciar Poucos pães multiplicou Água em vinho transformou Vem, faminto, a Jesus, vem cear Eis discípulos a voltar Sem os peixes apanhar Mas Jesus os manda outra vez partir Ao tornar à praia, então Veem no fogo peixe e pão E Jesus, que os convida à ceia vir Vem cear, o Mestre chama, vem cear Mesmo hoje tu te podes saciar Poucos pães multiplicou Água em vinho transformou Vem, faminto, a Jesus, vem cear Quem sedento se achar Venha a Cristo sem tardar Pois o vinho sem mistura Ele dá E também da vida, o pão Que nos traz consolação Eis que tudo preparado já está Vem cear, o Mestre chama, vem cear Mesmo hoje tu te podes saciar Poucos pães multiplicou Água em vinho transformou Vem, faminto, a Jesus, vem cear Breve Cristo vai descer E a Noiva receber Seu lugar ao lado do Senhor Jesus Quem a fome suportou E a sede já passou Lá no céu irá cear em santa luz Vem cear, o Mestre chama, vem cear Mesmo hoje tu te podes saciar Poucos pães multiplicou Água em vinho transformou Vem, faminto, a Jesus, vem cear "
Os Guerreiros Se Preparam,Harpa Cristã,3.066.844,"Os guerreiros se preparam para a grande luta É Jesus, o Capitão, que avante os levará A milícia dos remidos marcha impoluta Certa que vitória alcançará Eu quero estar com Cristo Onde a luta se travar No lance imprevisto Na frente m'encontrar Até que O possa ver na glória Se alegrando da vitória Onde Deus vai me coroar Eis os batalhões de Cristo prosseguindo avante Não os vê com que valor combatem contra o mal? Podes tu ficar dormindo, mesmo vacilante Quando atacam outros a Belial? Eu quero estar com Cristo Onde a luta se travar No lance imprevisto Na frente m'encontrar Até que O possa ver na glória Se alegrando da vitória Onde Deus vai me coroar Dá-te pressa, não vaciles, hoje Deus te chama Para vires pelejar ao lado do Senhor Entra na batalha onde mais o fogo inflama E peleja contra o vil tentador Eu quero estar com Cristo Onde a luta se travar No lance imprevisto Na frente m'encontrar Até que O possa ver na glória Se alegrando da vitória Onde Deus vai me coroar A peleja é tremenda, torna-se renhida Mas são poucos os soldados para batalhar Ó vem libertar as pobres almas oprimidas De quem furioso, as quer tragar Eu quero estar com Cristo Onde a luta se travar No lance imprevisto Na frente m'encontrar Até que O possa ver na glória Se alegrando da vitória Onde Deus vai me coroar "
Deus de Obras Completas,Kemilly Santos,497.146,"Eu sinto a Tua presença nesse lugar, Deus O Senhor não falha O Senhor não mente O Senhor não muda Aleluia Quando eu olho para os meus projetos Eu confesso, fica tão difícil acreditar Quando eu olho pras Tuas promessas Acredito, vai valer a pena esperar Pois eu sirvo um Deus que é tão grande Em apenas um instante Faz o impossível se materializar O meu Deus não faz pela metade Não vou viver uma parte Por completo Ele fará Eu vou viver A totalidade da promessa O Deus de obras completas Vai fazer cumprir na hora certa Não vou temer O projeto vem de quem não erra O Deus de obras completas Vai fazer cumprir na hora certa Quantos aqui creem Que Ele é o Deus de obras completas? Diga isso comigo Pois eu sirvo um Deus que é tão grande Em apenas um instante Faz o impossível se materializar O meu Deus não faz pela metade Não vou viver uma parte Por completo Ele fará Eu vou viver A totalidade da promessa O Deus de obras completas Vai fazer cumprir na hora certa Não vou temer O projeto vem de quem não erra O Deus de obras completas Vai fazer cumprir na hora certa Meu Deus não falha, não Eu não vou duvidar Eu sei que por completo fará (eu sei que por completo Ele fará) Meu Deus não falha, não Eu não vou duvidar Eu sei que por completo (fará) Profetiza isso na tua vida, vamo lá (Meu Deus não falha, não) (Eu não vou duvidar) (Eu sei que por completo fará) (eu sei que por completo Ele fará) Quantos creem que Ele fará por completo? Meu Deus não falha, não Eu não vou duvidar Eu sei que por completo fará Eu vou viver A totalidade da promessa O Deus de obras completas Vai fazer cumprir na hora certa (diga bem alto) Não vou temer O projeto vem de quem não erra O Deus de obras completas Vai fazer cumprir na hora certa Eu creio No Deus de obras completas No Deus de obras completas Aquele que começou a boa obra é fiel Ele não é homem para que minta Ele não é filho do homem para que se arrependa Talvez quem olha por você, pra você diz É um projeto falido, é um projeto abandonado Mas o Deus de obras completas Tá me direcionando a profetizar sobre a Tua vida Você recebe profecia no meio desse culto Papai tá mandando eu te lembrar o que o deserto te fez esquecer Ele vai completar a boa obra Ele vai completar a boa obra Ele não te abandona, não Ele não falha, não Ele não perde, Ele não mente Ele não muda, Ele é imutável Eu vou profetizar Eu vou viver A totalidade da promessa O Deus de obras completas Vai fazer cumprir na hora (certa) Não vou temer O projeto vem de quem não erra O Deus de obras completas Vai fazer cumprir (na hora certa) Aleluia Não é no meu tempo, não é do meu jeito É no tempo Dele Eu tô sentindo a presença de Jesus aqui nesse lugar "
Escape,Renascer Praise,2.230.483,"O inimigo tenta laços e embaraços Pra me envergonhar, mas não vai Porque eu não estou sozinho nessa guerra Está comigo o braço forte do Senhor Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento O inimigo tenta laços e embaraços Pra me envergonhar, mas não vai Porque eu não estou sozinho nessa guerra Está comigo o braço forte do Senhor Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Aquele que acalma o vento Aquele que aquieta o mar Que tira a força do fogo E faz o leão jejuar O Deus que derruba as muralhas Da estéril faz mãe de filhos É o mesmo que brada do alto Não temas, sou contigo Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Leão da Tribo de Judá Rei dos Reis reina para sempre Reina para sempre Reina para sempre Deus já tem um caminho aberto pelas águas Faz romper muitas fontes em meio ao deserto Haverá nuvens que trazem chuvas de bênçãos Ouça a voz, Deus te dá escape e livramento "
Gratidão,Florianópolis House Of Prayer (fhop music),369.032,"Nada novo achei Pra dizer então Como expressar Minha gratidão Posso até cantar Alguma canção Que vai acabar Mas a Tua, não Então vou levantar As minhas mãos e louvar Pois tudo o que tenho é um Aleluia, aleluia Sei que é simples pra um Rei Mas não tenho nada além De um coração cantando Aleluia, aleluia Em resposta a Ti Há uma ação Me render aqui Em adoração Em resposta a Ti Há uma ação Me render aqui Em adoração Então vou levantar As minhas mãos e louvar Pois tudo o que tenho é um Aleluia, aleluia Sei que é simples pra um Rei Mas não tenho nada além De um coração cantando Aleluia, aleluia Ei, meu coração, não se envergonhe Cante essa canção Pois sei que há fôlego nesses pulmões Vamos, louve ao Senhor Ei, meu coração, não se envergonhe Cante essa canção Pois sei que há fôlego nesses pulmões Vamos, louve ao Senhor Ei, meu coração, não se envergonhe Cante essa canção Pois sei que há fôlego nesses pulmões Vamos, louve ao Senhor, oh Louve ao Senhor Louve ao Senhor Louve, louve, louve Louve, louve, louve Louve ao Senhor Louve, yeah Louve, louve a minha alma, Senhor Louve a minha alma, Senhor Louve a minha alma, Senhor Louve a minha alma Então vou levantar As minhas mãos e louvar Pois tudo o que tenho é um Aleluia, aleluia Sei que é simples pra um Rei Mas não tenho nada além De um coração cantando Aleluia, aleluia Oh, ooh, ooh, ooh Oh, ooh, ooh, ooh Oh, ooh, ooh, ooh Oh, ooh, ooh, ooh Ei, meu coração, não se envergonhe Cante essa canção Pois sei que há fôlego nesses pulmões Vamos, louve ao Senhor Ei, meu coração, não se envergonhe Cante essa canção Pois sei que há fôlego nesses pulmões Vamos, louve ao Senhor Oh, ooh, ooh, ooh Oh, ooh, ooh, ooh Então vou levantar As minhas mãos e louvar Pois tudo o que tenho é um Aleluia, aleluia Sei que é simples pra um Rei Mas não tenho nada além De um coração cantando Aleluia, aleluia "
Bondade de Deus,Isaías Saad,2.923.166,"Te amo, Deus Tua graça nunca falha Todos os dias Eu estou em Tuas mãos Desde quando me levanto Até eu me deitar Eu cantarei da bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus Tua doce voz Que me guia em meio ao fogo Na escuridão Tua presença me conforta Sei que és meu Pai Que amigo és Eu vivo na bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus Tua bondade me seguirá Me seguirá, Senhor Tua bondade me seguirá Me seguirá, Senhor Eu me rendo a Ti, Te dou o meu ser Entrego tudo a Ti Tua bondade me seguirá Me seguirá, Senhor Tua bondade me seguirá Me seguirá, Senhor Tua bondade me seguirá Me seguirá, Senhor Eu me rendo a Ti, te dou o meu ser Entrego tudo a Ti Tua bondade me seguirá Me seguirá, Senhor És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho, que tenho Eu cantarei da bondade de Deus És fiel em todo tempo Em todo tempo Tu és tão, tão bom Com todo fôlego que tenho Eu cantarei da bondade de Deus "
Consagração,Aline Barros,3.456.934,"Ao Rei dos reis, consagro tudo o que sou De gratos louvores, transborda o meu coração A minha vida, eu entrego nas Tuas mãos, meu Senhor Pra Te exaltar com todo meu amor Eu Te louvarei conforme a Tua justiça E cantarei louvores Pois Tu és altíssimo Celebrarei a Ti, ó Deus, com o meu viver Cantarei e contarei as Tuas obras Pois por Tuas mãos foram criados Terra, céu e mar, e todo ser que neles há Toda a terra celebra a Ti Com cânticos de júbilo Pois Tu és o Deus criador Toda a terra celebra a Ti Com cânticos de júbilo Pois Tu és o Deus Criador Celebrarei a Ti, ó Deus, com o meu viver Cantarei e contarei as Tuas obras Pois por Tuas mãos foram criados Terra, céu e mar, e todo ser que neles há Toda a terra celebra a Ti Com cânticos de júbilo Pois Tu és o Deus Criador Toda a terra celebra a Ti Com cânticos de júbilo Pois Tu és o Deus Criador Pois Tu és o Deus Criador Pois Tu és o Deus Criador A honra (a honra) A glória (a glória) A força (a força) E o poder ao Rei Jesus A honra (a honra) A glória (a glória) A força (a força) E o poder ao Rei Jesus E o louvor ao Rei Jesus A honra, a glória, a força E o poder ao Rei Jesus E o louvor ao Rei Jesus A honra (a honra) A glória (a glória) A força (a força) E o poder ao Rei Jesus E o louvor ao Rei Jesus A honra, a glória, a força E o poder ao Rei Jesus E o louvor ao Rei Jesus "
we fell in love in october,girl in red,1.277.157,"Smoking cigarettes on the roof You look so pretty and I love this view We fell in love in October, that's why I love fall Looking at the stars, admiring from afar My girl, my girl, my girl You will be my girl My girl, my girl, my girl You will be my world My world, my world, my world You will be my girl Smoking cigarettes on the roof You look so pretty and I love this view Don't bother looking down We're not going that way At least I know, I am here to stay We fell in love in October, that's why I love fall Looking at the stars, admiring from afar My girl, my girl, my girl My girl, my girl, my girl You will be my girl My girl, my girl, my girl You will be my girl My girl, my girl, my girl You will be my girl My girl, my girl, my girl You will be my world My world, my world, my world You will be my girl "
Best Part (feat. H.E.R.),Daniel Caesar,4.031.096,"You don't know, babe When you hold me And kiss me slowly It's the sweetest thing And it don't change If I had it my way You would know that you are You're the coffee that I need in the morning You're my sunshine in the rain when it's pouring Won't you give yourself to me? Give it all, oh I just wanna see I just wanna see how beautiful you are You know that I see it I know you're a star Where you go, I follow No matter how far If life is a movie Oh, you're the best part, oh You're the best part, oh Best part It's this sunrise And those brown eyes, yes You're the one that I desire When we wake up And then we make love It makes me feel so nice You're my water when I'm stuck in the desert You're the Tylenol I take when my head hurts You're the sunshine on my life I just wanna see how beautiful you are You know that I see it I know you're a star Where you go, I follow No matter how far If life is a movie Then you're the best part, oh You're the best part, oh Best part If you love me, won't you say something? If you love me, won't you, won't you If you love me, won't you say something? If you love me, won't you Love me, won't you If you love me, won't you say something? If you love me, won't you If you love me, won't you say something? If you love me, won't you Love me, won't you If you love me, won't you say something? If you love me, won't you If you love me, won't you say something? If you love me, won't you Love me, won't you "
WHERE IS MY HUSBAND!,RAYE,45.986,"Baby (woo-hoo) Where the hell is my husband? (Woo-hoo) What is taking him so long (woo-hoo) To find me-e-e? Oh-oh, baby Where the hell is my lover? Getting down with another? (Woo-hoo, yeah) Tell him if you see him, baby If you see him, tell him (tell him) He should holler Why is this beautiful man waiting for me to get old? Why he already testing my patience? I only fear he's taking time with other women that ain't me While I've been reviewing applications Wait till I get my hands on him, I'ma tell him off too For how long he kept me waiting, anticipating Praying to the Lord to get him to my loving arms And despite my frustrations (He must need me) he must need me (Completely) completely How my heart yearns for him Is he far away? (Is he far away?) Is he okay? (Is he okay?) This man is testing me, uh-huh, uh-huh, uh Help me, help me, help me, Lord I need You to tell me Baby (woo-hoo) Where the hell is my husband? (Woo-hoo) What is taking him so long (woo-hoo) To find me-e-e? Oh-oh, baby Where the hell is my lover? Getting down with another? (Woo-hoo, yeah) Tell him if you see him, baby If you see him, tell him (tell him) He should holler I'm doing lonely acrobatics, unzipping my dress at two am and I'm tired of living like this He must be busy getting ready, tryna fix up his tie, uh, huh-huh, uh, hello? This where your wife is Wait till I get your heart going, I'ma turn it up too for how much I'm 'bout to love ya, no one above ya Praying to the Lord to hurry, hurry you along Baby, I intend to rush ya (He must need me) he must need me (Completely) completely How my heart yearns for him Is he far away? (Is he far away?) Is he okay? (Is he okay?) This man is testing me, uh-huh, uh-huh, uh (help me) Help me, help me, help me, Lord I need You to tell me Baby (woo-hoo) Where the hell is my husband? (Woo-hoo) What is taking him so long (woo-hoo) To find me-e-e? Oh-oh, baby Where the hell is my lover? Getting down with another? (Woo-hoo, yeah) Tell him if you see him, baby If you see him, tell him (tell him) He should holler (t-t-t-tell him) Tell him I'm mm, tell him I'm mm with the mm-mm-mm Tell him I'm kind, tell him I'm 5'5 Tell him I've got brown eyes and a growing fear that, if he doesn't find me now, I'm gonna die alone, so can he? Uh, uh, uh, uh, uh (hurry up here, sir) Uh-uh, uh-uh-uh, uh-huh, uh-huh, uh-huh I want it, want it, want it, want it, want it I would like a ring, I would like a ring I would like a diamond ring on my wedding finger I would like a big and shiny diamond that I could wave around and talk, and talk about it And when the day is here, forgive me God, that I could ever doubt it Until death, I do, I do, I do, I Is he about it, 'bout it, 'bout it? This man is testing me, uh-huh, uh-huh, uh Help me, help me, help me, Lord I need You to tell me Baby (woo-hoo) Where the hell is my husband? (Woo-hoo) What is taking him so long (woo-hoo) To find me-e-e? Oh-oh, baby Where the hell is my lover? Getting down with another? (Woo-hoo, yeah) Tell him that my grandma said it Tell him grandma said it Your husband is coming I would like a ring, I would like a ring I would like a diamond ring on my wedding finger, I would like a big and shiny (ooh) Diamond (yes), diamond (yes), diamond (yes), diamond (yes), diamond (yes), oh (oh) Where is my husband? (Ah) "
Die With A Smile (feat. Bruno Mars),Lady Gaga,7.542.237,"Ooh I I just woke up from a dream Where you and I had to say goodbye And I don't know what it all means But since I survived, I realized Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you Woo-ooh Ooh, lost Lost in the words that we scream I don't even wanna do this anymore 'Cause you already know what you mean to me And our love's the only war worth fighting for Wherever you go, that's where I'll follow Nobody's promised tomorrow So I'ma love you every night like it's the last night Like it's the last night If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you Right next to you Next to you Right next to you Oh-oh-oh If the world was ending, I'd wanna be next to you If the party was over and our time on Earth was through I'd wanna hold you just for a while And die with a smile If the world was ending, I'd wanna be next to you If the world was ending, I'd wanna be next to you Ooh, ooh I'd wanna be next to you "
Beautiful Things,Benson Boone,3.395.204,"For a while there, it was rough But lately I've been doin' better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She'll come and stay the night And I think I might have it all And I thank God every day For the girl He sent my way But I know the things He gives me He can take away And I hold you every night And that's a feeling I wanna get used to But there's no man as terrified As the man who stands to lose you Oh, I hope I don't lose you Mmm, please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, don't take I found my mind, I'm feelin' sane It's been a while, but I'm findin' my faith If everything's good and it's great Why do I sit and wait till it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all Please, stay I want you, I need you, oh, God Don't take These beautiful things that I've got Oh, ooh Please, stay I want you, I need you, oh, God I need These beautiful things that I've got "
Eu Só Quero Adorar,Gerson Rufino,948.445,"Eu não sei o que Ele viu em mim Não entendo por que me amou Eu não sou o que devia ser Mesmo assim, Ele me abraçou Sou pequeno, Ele, tão grande é Eu sou falho, Ele é fiel O que eu merecia era morrer Mas Ele me ofereceu o céu Eu só quero adorar, por isso estou aqui E se eu não adorar, falta algo em mim Eu jamais saberei por que me escolheu Mas de uma coisa eu sei Tudo que eu tenho Ele me deu Eu não sei o que Ele viu em mim Não entendo por que me amou Eu não sou o que devia ser Mesmo assim, Ele me abraçou Sou pequeno, Ele, tão grande é Eu sou falho, Ele é fiel O que eu deveria era morrer Mas Ele me ofereceu o céu Eu só quero adorar, por isso estou aqui E se eu não adorar, falta algo em mim Eu jamais saberei por que me escolheu Mas de uma coisa eu sei Tudo que eu tenho Ele me deu Eu só quero adorar, por isso estou aqui E se eu não adorar, falta algo em mim Eu jamais saberei por que me escolheu Mas de uma coisa eu sei Tudo que eu tenho Ele me deu Tudo que eu tenho Ele me deu Tudo que eu tenho Ele me deu "
